"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX20";"MXOnly-1U-NoLED";1;"t";;;
2;"MX50";"MXOnly-1U-NoLED";1;"m";;;
3;"MX53";"MXOnly-1U-NoLED";1;"/";;;
4;"MX27";"MXOnly-1U-NoLED";1;"]";;;
5;"MX39";"MXOnly-1U-NoLED";1;";";;;
6;"MX14";"MXOnly-2U-NoLED";1;"BackSpace";;;
7;"MX21";"MXOnly-1U-NoLED";1;"y";;;
8;"MX64";"MXOnly-1U-NoLED";1;"rightfn";;;
9;"MX1";"MXOnly-1U-NoLED";1;"ยง";;;
10;"MX7";"MXOnly-1U-NoLED";1;"6";;;
11;"MX10";"MXOnly-1U-NoLED";1;"9";;;
12;"MX51";"MXOnly-1U-NoLED";1;",";;;
13;"MX17";"MXOnly-1U-NoLED";1;"w";;;
14;"MX25";"MXOnly-1U-NoLED";1;"p";;;
15;"MX22";"MXOnly-1U-NoLED";1;"u";;;
16;"MX8";"MXOnly-1U-NoLED";1;"7";;;
17;"MX44";"MXOnly-1U-NoLED";1;"z";;;
18;"MX43";"MXOnly-1U-NoLED";1;"`";;;
19;"MX55";"MXOnly-1U-NoLED";1;"leftfn";;;
20;"MX3";"MXOnly-1U-NoLED";1;"2";;;
21;"MX23";"MXOnly-1U-NoLED";1;"i";;;
22;"MX4";"MXOnly-1U-NoLED";1;"3";;;
23;"MX49";"MXOnly-1U-NoLED";1;"n";;;
24;"MX61";"MXOnly-1.25U-NoLED";1;"RightCommand";;;
25;"MX54";"MXOnly-2.75U-NoLED";1;"RightShift";;;
26;"MX56";"MXOnly-1.25U-NoLED";1;"LeftCtrl";;;
27;"MX60";"MXOnly-2.75U-NoLED";1;"Space";;;
28;"MX11";"MXOnly-1U-NoLED";1;"0";;;
29;"MX35";"MXOnly-1U-NoLED";1;"h";;;
30;"MX13";"MXOnly-1U-NoLED";1;"=";;;
31;"MX41";"MXOnly-1U-NoLED";1;"\";;;
32;"MX36";"MXOnly-1U-NoLED";1;"j";;;
33;"MX28";"MXOnly-ISO-NoLED";1;"Enter";;;
34;"MX5";"MXOnly-1U-NoLED";1;"4";;;
35;"MX32";"MXOnly-1U-NoLED";1;"d";;;
36;"MX40";"MXOnly-1U-NoLED";1;"'";;;
37;"MX2";"MXOnly-1U-NoLED";1;"1";;;
38;"MX58";"MXOnly-1.25U-NoLED";1;"LeftCommand";;;
39;"MX15";"MXOnly-1.5U-NoLED";1;"Tab";;;
40;"MX57";"MXOnly-1.25U-NoLED";1;"LeftOption";;;
41;"MX26";"MXOnly-1U-NoLED";1;"[";;;
42;"MX62";"MXOnly-1.25U-NoLED";1;"RightOption";;;
43;"MX9";"MXOnly-1U-NoLED";1;"8";;;
44;"MX34";"MXOnly-1U-NoLED";1;"g";;;
45;"MX29";"MXOnly-1.75U-NoLED";1;"Esc";;;
46;"MX18";"MXOnly-1U-NoLED";1;"e";;;
47;"MX46";"MXOnly-1U-NoLED";1;"c";;;
48;"MX33";"MXOnly-1U-NoLED";1;"f";;;
49;"MX12";"MXOnly-1U-NoLED";1;"-";;;
50;"MX48";"MXOnly-1U-NoLED";1;"b";;;
51;"MX42";"MXOnly-1.25U-NoLED";1;"LeftShift";;;
52;"MX63";"MXOnly-1.25U-NoLED";1;"RightCtrl";;;
53;"MX37";"MXOnly-1U-NoLED";1;"k";;;
54;"MX52";"MXOnly-1U-NoLED";1;".";;;
55;"MX6";"MXOnly-1U-NoLED";1;"5";;;
56;"MX24";"MXOnly-1U-NoLED";1;"o";;;
57;"MX30";"MXOnly-1U-NoLED";1;"a";;;
58;"MX47";"MXOnly-1U-NoLED";1;"v";;;
59;"MX45";"MXOnly-1U-NoLED";1;"x";;;
60;"MX19";"MXOnly-1U-NoLED";1;"r";;;
61;"MX38";"MXOnly-1U-NoLED";1;"l";;;
62;"MX16";"MXOnly-1U-NoLED";1;"q";;;
63;"MX59";"MXOnly-2.75U-NoLED";1;"Layer 1";;;
64;"MX31";"MXOnly-1U-NoLED";1;"s";;;
65;"U1";"ProMicro";1;"ProMicro";;;
66;"D18,D40,D13,D28,D36,D59,D53,D10,D50,D35,D26,D21,D45,D23,D24,D15,D22,D32,D12,D2,D7,D4,D25,D55,D61,D8,D42,D16,D6,D33,D60,D57,D1,D34,D38,D43,D56,D51,D27,D14,D46,D49,D5,D30,D17,D29,D20,D9,D62,D58,D54,D3,D63,D44,D52,D39,D47,D37,D41,D48,D19,D31,D64,D11";"D_SOD-123";64;"D_Small";;;
